"Latitude (dec deg N)","Longitude (dec deg E)","Depth (m)","SampleID","Location Code","Day of Year (1-365)","Week of Year (1-52)","Date Collected (YYYY-MM-DD)","Time Collected PT (hh:mm:ss)","Air Temp (deg C)","Temp (deg C)","Salinity (PSU 1e-3)","Chl Volume Filtered (mL)","Chl1 (mg/m3)","Chl2 (mg/m3)","Avg Chloro (mg/m3)","Phaeo1 (mg/m3)","Phaeo2 (mg/m3)","Avg. Phaeo (mg/m3)","Phosphate (uM)","Silicate (uM)","Nitrite (uM)","Nitrite+Nitrate (uM)","Ammonium (uM)","Nitrate (uM)","DA Volume Filtered (mL)","pDA (ng/mL)","tDA (ng/mL)","dDA (ng/mL)","Volume Settled for counting (mL)","Akashiwo sanguinea (cells/L)","Alexandrium spp. (cells/L)","Dinophysis spp. (cells/L)","Lingulodinium polyedra (cells/L)","Prorocentrum spp. (cells/L)","Pseudo-nitzschia delicatissima group (cells/L)","Pseudo-nitzschia seriata group (cells/L)","Ceratium spp. (cells/L)","Cochlodinium/Margalefidinium spp. (cells/L)","Gymnodinium spp. (cells/L)","Other Diatoms (cells/L)","Other Dinoflagellates (cells/L)","Total Phytoplankton (cells/L)"
35.370852,-120.858731,NA,"MBF230103","MBF",3,1,2023-01-03,"7:30:00",NA,12.5,33.2819,100,0.58,0.58,0.58,1.63,1.59,1.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,0,0,0,0,0,0,0,533.076725686425,0,0,8529.22761098281,1066.15345137285,10128.4577880421
35.370852,-120.858731,NA,"MBF230111","MBF",11,2,2023-01-11,"12:40:00",NA,13.8,21.2,100,1.18,1.18,1.18,0.9,0.89,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,0,0,0,1599.23017705928,0,0,0,1599.23017705928,0,0,2132.3069027457,1066.15345137285,6396.92070823711
35.370852,-120.858731,NA,"MBF230118","MBF",18,3,2023-01-18,"6:18:00",NA,13.4,32.7,100,0.58,0.62,0.6,1.08,0.98,1.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,0,0,0,0,0,0,533.076725686425,0,0,0,1599.23017705928,533.076725686425,2665.38362843213
35.370852,-120.858731,NA,"MBF230123","MBF",23,4,2023-01-23,"11:00:00",NA,12.4,NA,100,0.55,0.59,0.57,0.53,0.61,0.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,0,0,0,533.076725686425,0,0,0,0,0,0,3198.46035411855,0,3731.53707980498
35.370852,-120.858731,NA,"MBF230130","MBF",30,5,2023-01-30,"5:10:00",NA,12.1,33.4,100,2.56,2.25,2.41,0.98,1,0.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,0,0,0,0,0,1066.15345137285,0,0,0,0,6396.9207082371,533.076725686425,7996.15088529638
35.370852,-120.858731,NA,"MBF230206","MBF",37,6,2023-02-06,"10:30:00",NA,12.5,33,100,1.4,1.25,1.32,1.11,0.98,1.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,0,0,0,0,0,0,0,0,0,0,3198.46035411855,2132.3069027457,5330.76725686425
35.370852,-120.858731,NA,"MBF230215","MBF",46,7,2023-02-15,"5:50:00",NA,10.9,32,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,0,0,0,0,0,0,0,0,0,0,44778.4449576597,533.076725686425,45311.5216833462
35.370852,-120.858731,NA,"MBF230221","MBF",52,8,2023-02-21,"8:50:00",NA,11.4,33.3,100,2.63,2.6,2.62,1.77,1.59,1.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,0,0,0,0,533.076725686425,0,0,0,0,0,161522.247882987,0,162055.324608673
35.370852,-120.858731,NA,"MBF230228","MBF",59,9,2023-02-28,"6:20:00",NA,10.4,30.7,100,1.56,1.45,1.51,1.55,1.51,1.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,0,0,0,0,0,0,0,0,0,0,15459.2250449063,533.076725686425,15992.3017705928
35.370852,-120.858731,NA,"MBF230306","MBF",65,10,2023-03-06,"8:20:00",NA,11.2,32.86,100,1.5,1.67,1.59,0.61,0.65,0.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,0,0,0,0,0,0,0,0,0,0,32517.680266872,1599.23017705928,34116.9104439312
